residual_name,freq,type,reason,residual_values(top15),cand1_ref,cand1_values,宏基因组相关,合并到(据字典),饼图分类,通用(meta-analysis)
contamination score,2616295,numeric,MAG 污染度，MAG技术簇,0.00(41774) ; 0(23258) ; 0.67(6396) ; 1.34(4076) ; 1.72(3825) ; 0.34(3167) ; 0.63(2985) ; 1.01(2934) ; 0.68(2502) ; 0.81(2236) ; 2.01(2135) ; 3.45(1888) ; 1.68(1815) ; 1.75(1773) ; 0.48(1754),fecal contamination value,,组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
taxonomic identity marker,2602094,freetext/high-card,MAG 分类标记，MAG技术簇,"multi-marker approach(206460) ; multi-marker approach (checkm)(20567) ; gtdbtk followed by sourmash-lca, see publication(12765) ; 16S rRNA gene(12721) ; CheckM_markers(9768) ; multi-marker approach - MAGpy - Stewart RD, Auffret MD, Snelling TJ, Roehe R, Watson M. (2019) MAGpy: a reproducible pipeline for the downstream analysis of metagenome-assembled genomes (MAGs). Bioinformatics. 35(12):2150-2152. doi: 10.1093/bioinformatics/bty905(4940) ; gtdb_tk(352) ; Genome Taxonomy Database classifier (120 protein markers)(286) ; multi-marker approach (GTDB-tk v1.03, GTDB v95)(276) ; multimarker(100) ; multi marker approach(95) ; Multi-marker approach(58) ; 16S gene(42) ; multi-markers approach using the Bin Annotation Tool(29) ; relative evolutionary divergence (RED) and ANI(29)",host taxonomy ID,,组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
sequencing method,2067162,freetext/high-card,测序平台(Illumina等)，SRA核心字段，字典缺，建议新增,Illumina(173777) ; Illumina MiSeq(82041) ; Illumina HiSeq 2000(51693) ; Illumina HiSeq 2500(36094) ; Illumina HiSeq 4000(27716) ; pyrosequencing(23691) ; NextSeq 500(18156) ; Illumina Miseq(16969) ; Illumina Genome Analyzer II(16265) ; MiSeq(15373) ; NovaSeq(13212) ; Illumina HiSeq(10336) ; Illumina NovaSeq 6000(7933) ; Miseq(5514) ; 454(5092),breeding method,"Gynogenesis(556) ; in vitro(526) ; Random mating(478) ; gamete stripping(310) ; Funnel breeding of A/J, C57BL/6J, 129S1/SvImJ, NOD/ShiLtJ, NZO/HILtJ, CAST/EiJ, PWK/PhJ, WSB/EiJ(246) ; timed mating, homozygous x homozygous(199) ; Artificial Insemination(184) ; full-sib mating(183) ; AI(168) ; IVP and IVF(152) ; Endogamic, sister-brother trios(115) ; PROGRESSIF(108) ; In vitro derived(98) ; BRUTAL(96) ; Fish Hatchery(90)",,独立键(仅自身),测序/基因组/分析,否
lineage/clade name,2037602,freetext/high-card,Pango 谱系(B.1.1.7等)，官方 subspecific genetic lineage,B.1.1.7(59149) ; B.1.617.2(26419) ; B.1.2(18150) ; B.1.526(7700) ; B.1.429(6242) ; P.1(5991) ; B.1(5838) ; B.1.427(2661) ; B.1.526.1(2378) ; B.1.526.2(2086) ; B.1.1.519(2068) ; AY.3(1781) ; B.1.1.222(1408) ; B.1.621(1250) ; B.1.243(1088),subspecific genetic lineage,,,独立键(仅自身),样本来源/材料,是
diagnostic_pcr_protocol_1,2036700,categorical,诊断PCR协议，字典无protocol，SARS诊断簇/建议扩展,Labcorp LDT(67857) ; Roche(20549) ; TaqPath(19977) ; LDT(11450) ; ThermoFisher Taqpath Assay(11068) ; TaqPath COVID-19 Combo Kit(9797) ; CDC Flu SC2(7469) ; Hologic(7011) ; Abbott Alinity(1741) ; Roche Cobas(1496) ; Covid-19-CDC(231) ; Panther Fusion(192) ; Lab Developed Test(160) ; nCoV_N1 (CT Value)(118) ; TAQMAN(106),SARS-CoV-2 diagnostic pcr Ct value 2,,,独立键(仅自身),测序/基因组/分析,否
diagnostic_pcr_Ct_value_1,2036582,numeric,官方 SARS-CoV-2 diagnostic pcr Ct value 1,20(232) ; 16.9(131) ; 15.9(129) ; 18.6(128) ; 18.9(128) ; 20.3(127) ; 16.4(126) ; 18.8(125) ; 18(125) ; 20.2(124) ; 17.5(124) ; 17.9(124) ; 17.6(124) ; 19.9(122) ; 17.8(122),SARS-CoV-2 diagnostic pcr Ct value 1,,,独立键(仅自身),测序/基因组/分析,否
host_race,2008438,freetext/high-card,值=种族(White/Black等)，官方 race,White(11219) ; AMR(3084) ; W(3026) ; Black or African American(2764) ; Other Race(2339) ; WHITE(1860) ; NAM(1815) ; DTA(1709) ; Asian(929) ; O(601) ; B(452) ; OTH(316) ; UNK(221) ; White or Caucasian(200) ; caucasian(166),race,Caucasian(51075) ; White(16597) ; Chinese(4341) ; Asian(2832) ; Other(2465) ; Black(2372) ; WHITE(2354) ; African American(1975) ; white(1919) ; Asian or Pacific Islander(1649) ; caucasian(1647) ; W(1389) ; Hispanic(1127) ; Missing: Not provided(897) ; AA(858),,合并→ race,宿主/临床,是
diagnostic_gene_name_1,1689613,freetext/high-card,官方 SARS-CoV-2 diagnostic gene name 1,N1 gene(67857) ; N gene(24531) ; Z20828(11435) ; ms2(11068) ; SC2(8154) ; ORF1ab(5243) ; ct(3699) ; Z20822(1927) ; Z1159(460) ; Z03818(383) ; U071(346) ; Z1152(272) ; R05(218) ; Z20.828(214) ; R509(136),SARS-CoV-2 diagnostic gene name 1,,,独立键(仅自身),测序/基因组/分析,否
replicate,1548070,freetext/high-card,生物学重复，官方 biological sample replicate,1(58615) ; 2(42426) ; biological replicate 1(29726) ; 3(25414) ; biological replicate 2(24928) ; biological replicate 3(19720) ; 4(10119) ; rep1(6614) ; rep2(6316) ; biological replicate 4(5814) ; A(5433) ; replicate = biological replicate 1(5275) ; B(5045) ; replicate = biological replicate 2(4955) ; 5(4854),technical sample replicate,,,独立键(仅自身),测序/基因组/分析,否
diagnostic_pcr_protocol_2,1511863,categorical,SARS诊断协议簇/建议扩展,Labcorp LDT(67857) ; ThermoFisher Taqpath Assay(13611) ; TaqPath COVID-19 Combo Kit(9797) ; CDC Flu SC2(7469) ; TaqPath(5243) ; Covid-19-CDC(231) ; nCoV_N1 (CT Value)(118) ; TAQMAN(106) ; CDC COVID-19(34) ; qPCR(13) ; Perkin Elmer Nucleic Acid Detection Kit(11) ; ThermoFisher TaqPath(9) ; nCoV_N1(5) ; COVID-19(2) ; Thermo Fisher TaqPath(2),SARS-CoV-2 diagnostic pcr Ct value 2,,,独立键(仅自身),测序/基因组/分析,否
diagnostic_pcr_protocol_3,1511863,categorical,SARS诊断协议簇/建议扩展,Labcorp LDT(67857) ; ThermoFisher Taqpath Assay(13611) ; TaqPath COVID-19 Combo Kit(9797) ; CDC Flu SC2(7469) ; TaqPath(5243) ; Covid-19-CDC(231) ; nCoV_N1 (CT Value)(118) ; TAQMAN(106) ; CDC COVID-19(34) ; qPCR(13) ; Perkin Elmer Nucleic Acid Detection Kit(11) ; ThermoFisher TaqPath(9) ; nCoV_N1(5) ; COVID-19(2) ; Thermo Fisher TaqPath(2),SARS-CoV-2 diagnostic pcr Ct value 2,,,独立键(仅自身),测序/基因组/分析,否
diagnostic_gene_name_2,1511786,categorical,官方 SARS-CoV-2 diagnostic gene name 2,N2 gene(67857) ; n gene(13611) ; S gene(9797) ; N1(8154) ; N gene(5243),SARS-CoV-2 diagnostic gene name 2,,,独立键(仅自身),测序/基因组/分析,否
diagnostic_gene_name_3,1511786,categorical,字典只到2，第3路建议扩展,RP gene(67857) ; orf1ab(13611) ; ORF1ab(9797) ; N2(8154) ; S gene(5243),SARS-CoV-2 diagnostic gene name 2,,,独立键(仅自身),测序/基因组/分析,否
diagnostic_pcr_Ct_value_2,1511762,numeric,官方 SARS-CoV-2 diagnostic pcr Ct value 2,20(34) ; 18.984(23) ; 17.966(23) ; 19.966(22) ; 17.973(22) ; 20.984(21) ; 19.969(21) ; 18.965(21) ; 18.979(21) ; 19.963(21) ; 19.932(20) ; 18.983(20) ; 21.983(20) ; 18.966(20) ; 19.084(19),SARS-CoV-2 diagnostic pcr Ct value 2,,,独立键(仅自身),测序/基因组/分析,否
diagnostic_pcr_Ct_value_3,1511761,numeric,字典只到2，第3路建议扩展,1(3042) ; Undetermined(2189) ; 20(116) ; 100(110) ; 29.014(15) ; 29.466(15) ; 29.721(14) ; 30.336(14) ; 29.101(13) ; 30.497(13) ; 30.325(13) ; 28.315(13) ; 29.858(13) ; 29.127(12) ; 26.212(12),SARS-CoV-2 diagnostic pcr Ct value 2,,,独立键(仅自身),测序/基因组/分析,否
virus identifier,1443435,freetext/high-card,病毒株标识，弱可挂 isolate 或新增,CV-B5(74) ; SARS-CoV-2(25) ; CV-A16(19) ; CV-A6(18) ; CV-A5(15) ; E-25(14) ; CV-A11(13) ; CV-A14(11) ; E-18(10) ; EV-C109(10) ; E-9(10) ; E-11(9) ; E-5(7) ; CV-A4(7) ; E-6(7),identified by,"Heyu Lin(2088) ; INMEGEN(1837) ; Tsurusaki, N(1482) ; MAARTEN J. M. CHRISTENHUSZ(1083) ; Maarten J. M. Christenhusz(931) ; RFLP-PCR assay of COI fragment(887) ; Douglas Boyes(833) ; J. A. Castillo Vardaro(705) ; Telleasha Greay(655) ; DAVID BELL(647) ; Joaquin Ortego(560) ; Elijah Juma(560) ; ANGUS DAVISON(546) ; Steven Falk(536) ; SD Schoville(532)",,独立键(仅自身),样本来源/材料,是
serotype (required for a seropositive sample),1265863,categorical,官方 serotype,A61(2) ; BVDV1a(2) ; H5N8(1) ; F40(1) ; B16/21(1) ; SAT1(1),serotype,O157:H7(10064) ; :H16(5627) ; O26:H11(4867) ; O103:H2(4444) ; O111:H8(3338) ; O13/O135:H14(2270) ; Emm28(2101) ; A(1586) ; O121:H19(1267) ; M89(1226) ; :H7(1081) ; O13:H14(987) ; O145:H28(881) ; 1/2a(847) ; :H2(805),,合并→ serotype,样本来源/材料,是
definition for seropositive sample,1264371,categorical,自由文本判定标准，无对应,"Ct &gt;36 for RRT PCR, &gt;1/16 HI titre with 4HAU antigen(1)",room sampling position,,,独立键(仅自身),宿主/临床,是
taxonomic classification,1211301,categorical,GTDB-Tk 输出，MAG技术簇,"GTDB-Tk;v1.3.0(reference from GTDB Release 95,species rank classification,default parameters)(21536) ; GTDB-Tk v1.1.1 (GTDB release 89, default parameters, classification rank genus)(19) ; GTDB-Tk v1.1.1 (GTDB release 89, default parameters, classification rank family)(1) ; GTDB-Tk v1.1.1 (GTDB release 89, default parameters, classification rank class)(1) ; GTDB-Tk v1.1.1 (GTDB release 89, default parameters, classification rank phylum)(1)",FAO classification,,组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
MAG coverage software,1153584,categorical,MAG 覆盖度工具，MAG技术簇,bowtie2; v2.3.5.1(21536) ; BBMap v38.08(22),average temperature,,组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
number of contigs,1019474,numeric,组装统计，MAG技术簇,23(5) ; 20(4) ; 47(3) ; 9(3) ; 43(3) ; 18(3) ; 31(2) ; 56(2) ; 45(2) ; 48(2) ; 42(2) ; 58(2) ; 13(2) ; 112(2) ; 195(2),number of pets,,组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
GUNC clade separation score,1019328,empty/all-missing,全空列(GUNC/SPIRE)，无值,,microbial starter preparation,,组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
GUNC contamination score,1019328,empty/all-missing,全空列,,fecal contamination value,,组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
GUNC reference representation score,1019328,empty/all-missing,全空列,,reference material,"inclusivity SAFE(98) ; PulseNet Size Standard; Type Strain ATCC:BAA-664(9) ; NIST reference material for genome sequencing validation(7) ; Type Strain ATCC:BAA-1045(2) ; Salmonella Reference Collection, SGSC:2485(2) ; CDC PFGE Certification Isolate(2) ; Salmonella Reference Collection, SGSC:2487(1) ; Salmonella Reference Collection, SGSC:2213(1) ; Type Strain ATCC:9184(1) ; Type Strain ATCC:15480(1) ; Type Strain ATCC:39184(1) ; Salmonella Reference Collection, SGSC:2474(1) ; Salmonella Reference Collection, SGSC:2220(1) ; Salmonella Reference Collection, SGSC:2217(1) ; Salmonella Reference Collection, SGSC:2216(1)",组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
GUNC version,1019328,empty/all-missing,全空列,,gap study version,,组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
SPIRE genome cluster,1019328,empty/all-missing,全空列,,metagenome source,gut metagenome(19526) ; human gut metagenome(13043) ; marine metagenome(10995) ; groundwater metagenome(7326) ; freshwater metagenome(6214) ; human oral metagenome(4466) ; soil metagenome(4286) ; marine sediment metagenome(3517) ; activated sludge metagenome(3496) ; subsurface metagenome(3360) ; anaerobic digester metagenome(3177) ; wastewater metagenome(3034) ; hydrothermal vent metagenome(2720) ; bioreactor metagenome(2077) ; soda lake metagenome(2060),组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
SPIRE genome id,1019328,empty/all-missing,全空列,,metagenome source,gut metagenome(19526) ; human gut metagenome(13043) ; marine metagenome(10995) ; groundwater metagenome(7326) ; freshwater metagenome(6214) ; human oral metagenome(4466) ; soil metagenome(4286) ; marine sediment metagenome(3517) ; activated sludge metagenome(3496) ; subsurface metagenome(3360) ; anaerobic digester metagenome(3177) ; wastewater metagenome(3034) ; hydrothermal vent metagenome(2720) ; bioreactor metagenome(2077) ; soda lake metagenome(2060),组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
contig N50,1019328,empty/all-missing,全空列,,water content,"96,96(144) ; 95,54(140) ; Missing: Not provided(79) ; 80(52) ; 0.31(31) ; 0.27(17) ; 0.91(10) ; 0.25(8) ; 0.189(8) ; not measured(7) ; 0.94(7) ; 0.35(7) ; 0.33(7) ; 0.21(7) ; 3 gH2O/gDW(7)",组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
derived from assembly,1019328,empty/all-missing,全空列(名义近 derived from 但无值),,derived from,"Human(1837) ; This BioSample is a metagenomic assembly obtained from the activated sludge metagenome BioSamples: SAMN08389165, SAMN08389166, SAMN08389167, SAMN08389168, SAMN08389169, SAMN08389170, SAMN08389171, SAMN08389172, SAMN08389173, SAMN08389174, SAMN08389175, SAMN08389176, SAMN08389177, SAMN08389178, SAMN08389179, SAMN08389180, SAMN08389181, SAMN08389182, SAMN08389183, SAMN08389184, SAMN08389185, SAMN08389186, SAMN08389187, SAMN08389188, SAMN08389189, SAMN08389190, SAMN08389191, SAMN08389192, SAMN08389193, SAMN08389194, SAMN08389195, SAMN08389196, SAMN08389197, SAMN08389198, SAMN08389199, SAMN08389200, SAMN08389201, SAMN08389202, SAMN08389203, SAMN08389204, SAMN08389205, SAMN08389206, SAMN08389207, SAMN08389208, SAMN08389209, SAMN08389210, SAMN08389211, SAMN08389212, SAMN08389213, SAMN08389214, SAMN08389215, SAMN08389216, SAMN08389217, SAMN08389218, SAMN08389219, SAMN08389220, SAMN08389221, SAMN08389222, SAMN08389223, SAMN08389224, SAMN08389225, SAMN08389226, SAMN08389227, SAMN08389228, SAM N08389229, SAMN08389230, SAMN08389231, SAMN08389232, SAMN08389233, SAMN08389234, SAMN08389235, SAMN08389236, SAMN08389237, SAMN08389238, SAMN08389239, SAMN08389240, SAMN08389241, SAMN08389242, SAMN08389243, SAMN08389244, SAMN08389245, SAMN08389246, SAMN08389247, SAMN08389248, SAMN08389249, SAMN08389250, SAMN08389251, SAMN08389252, SAMN08389253, SAMN08389254, SAMN08389255, SAMN08389256, SAMN08389257, SAMN08389258, SAMN08389259, SAMN08389260, SAMN08389261, and SAMN08389262(920) ; This BioSample is a metagenomic assembly obtained from the gut metagenome BioSamples: SAMN20206759,SAMN20206760,SAMN20206761,SAMN20206762,SAMN20206763,SAMN20206764,SAMN20206765,SAMN20206766,SAMN20206767,SAMN20206768,SAMN20206769,SAMN20206770,SAMN20206771,SAMN20206772,SAMN20206773,SAMN20206774,SAMN20206775,SAMN20206776,SAMN20206777,SAMN20206778,SAMN20206779,SAMN20206780,SAMN20206781,SAMN20206782,SAMN20206783,SAMN20206784,SAMN20206785,SAMN20206786,SAMN20206787,SAMN20206788,SAMN20206789,SAMN20206790,SAMN20206791,SAMN20206792,SAMN20206793,SAMN20206794,SAMN20206795,SAMN20206796,SAMN20206797,SAMN20206798,SAMN20206799,SAMN20206800,SAMN20206801,SAMN20206802(591) ; This BioSample is a metagenomic assembly obtained from the mouse gut metagenome BioSamples: SAMN14144348,SAMN14144349,SAMN14144350,SAMN14144351,SAMN14144352,SAMN14144353,SAMN14144354,SAMN14144355,SAMN14144356,SAMN14144357,SAMN14144358,SAMN14144359,SAMN14144360,SAMN14144361,SAMN14144362,SAMN14144363,SAMN14144364,SAMN14144365(590) ; This BioSample is a metagenomic assembly obtained from the mine drainage metagenome BioSamples: SAMN18898484, SAMN18898485, SAMN18898486, SAMN18898487, SAMN18898488, SAMN18898489, SAMN18898490, SAMN18898491, SAMN18898492, and SAMN18898493(566) ; This BioSample is a metagenomic assembly obtained from the Activated sludge metagenome BioSample:SAMN15648910(557) ; Human blood(556) ; This BioSample is a metagenomic assembly obtained from the human oral metagenome BioSample: SAMN09489426(527) ; This BioSample is a metagenomic assembly obtained from the groundwater metagenome BioSample: SAMN15459600(524) ; This BioSample is a metagenomic assembly obtained from the freshwater metagenome BioSample: SAMN17269717(516) ; This BioSample is a metagenomic assembly obtained from the PNA biofilm metagenome BioSample: SAMN14350132, SAMN14350134, SAMN14350135, SAMN14350144, SAMN14350146, SAMN14350147, SAMN14350154, SAMN14350155, SAMN14350160, SAMN14350166, SAMN14350167, SAMN14350168, SAMN14350177, SAMN14350178, SAMN14350179, SAMN14350189, SAMN14350190 and SAMN14350191.(430) ; PN9(418) ; PN8(418) ; This BioSample is a metagenomic assembly obtained from the bioreactor metagenome BioSamples: SAMN13418212, SAMN13418213, SAMN13418214, SAMN13418245, SAMN13418246, SAMN13418247, SAMN13418248, SAMN13418249, SAMN13418250, SAMN13418251, SAMN13418252, SAMN13418253, SAMN13418254, SAMN15778297, SAMN15778298, SAMN15778299, SAMN15778300, SAMN15778301, SAMN15778302, SAMN15778303, SAMN15778304, SAMN15778305, SAMN15778306, SAMN15778307, SAMN15778308, SAMN15778309, SAMN15778310, SAMN15778311, SAMN15778312, SAMN15778313, SAMN15778314, SAMN15778315, and SAMN15778316(403) ; Blood(401)",组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
linked to SPIRE sample,1019328,empty/all-missing,全空列,,sample salinity,,组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
linked to SPIRE study,1019328,empty/all-missing,全空列,,study name,The Cancer Genome Atlas (TCGA)(110122) ; eMERGE Network Phase III: HRC Imputed Array Data(105129) ; OncoArray: Prostate Cancer(99622) ; Low LDL Cholesterol and Increased Risk of Type 2 Diabetes(80286) ; Resource for Genetic Epidemiology Research on Aging (GERA)(78479) ; AACR Project GENIE(69212) ; DRIVE Breast Cancer OncoArray Genotypes(60231) ; Framingham Cohort(58525) ; HMP Core Microbiome Sampling Protocol A (HMP-A)(56215) ; Population Architecture using Genomics and Epidemiology - Women's Health Initiative Clinical Trial and Observational Study(56001) ; eMERGE Network Imputed GWAS for 41 Phenotypes(55029) ; OncoArray: Follow-up of Ovarian Cancer Genetic Association and Interaction Studies (FOCI)(51711) ; Yale SPORE in Skin Cancer Project 2(50989) ; Women's Health Initiative Clinical Trial and Observational Study(50385) ; eMERGE Network Phase III Clinical Sequencing: eMERGEseq Panel(49987),组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
linked to analysis project,1019328,empty/all-missing,全空列,,links to additional analysis,,组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
taxonomic classification software,1019328,empty/all-missing,全空列,,FAO classification,,组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
brain region,986070,freetext/high-card,脑区解剖部位，官方 host anatomical part,"CP(14243) ; ACA,PL,ILA(12889) ; PIR(12827) ; M1(12185) ; SSp(11475) ; DG(10136) ; MOp(9940) ; CA(9500) ; FC(8194) ; MOs(7408) ; ACB(6266) ; ACC(6144) ; DHC(6140) ; MTG(6135) ; A5-A7(6132)",radiation regimen,,,独立键(仅自身),宿主/临床,是
ArrayExpress-SPECIES,948611,freetext/high-card,值=物种，归顶层 organism 字段,Homo sapiens(85637) ; Plasmodium falciparum(46106) ; Mus musculus(36215) ; Streptococcus pneumoniae(32200) ; Mus Musculus(27613) ; Anopheles gambiae(25504) ; Escherichia coli(16553) ; Saccharomyces cerevisiae(12493) ; Salmonella enterica(10314) ; Klebsiella pneumoniae(8791) ; gut metagenome(8415) ; Homo Sapiens(7869) ; Pseudomonas aeruginosa(6686) ; Plasmodium vivax(6210) ; Plasmodium berghei(6123),sub species,subsp. aestivum(1914) ; admixed-ind(815) ; trj(684) ; ind2(664) ; ind3(567) ; tej(539) ; admixed-jap(415) ; aus(376) ; Hordeum vulgare subsp. vulgare(355) ; familiaris(336) ; Gp3(316) ; enterica(301) ; ind1(278) ; Gp4(232) ; Gallus gallus gallus(127),,独立键(仅自身),样本来源/材料,是
gap_parent_phs,870993,freetext/high-card,dbGaP 母研究 phs，官方 gap accession,phs000200(118703) ; phs000788(78483) ; phs000007(64408) ; phs000280(59671) ; phs000178(38799) ; phs000743(32570) ; phs000810(26446) ; phs000287(24374) ; phs000209(23922) ; phs001442(22071) ; phs001078(18583) ; phs001194(18384) ; phs001133(16785) ; phs000285(13539) ; phs001120(12950),water current,mariana trench(32) ; not collecte(24) ; water(12) ; fructose_in_water(12) ; -590 v SHE(4) ; 0.6 (aw)(2) ; 0.54 (aw)(1) ; 0.64 (aw)(1) ; 0.55 (aw)(1) ; 0.53 (aw)(1) ; 0.42 (aw)(1) ; 0.425 (aw)(1) ; 0.65 (aw)(1) ; 0.49 (aw)(1) ; 0.548 (aw)(1),,独立键(仅自身),提交/数据库管理,否
Sampling Strategy,687063,categorical,采样策略，弱挂 purpose of sampling,Random sampling(7958) ; Suspect sampling(3539) ; Outbreak investigation(19),sampling site ID,BBAY34(1) ; BBAY41(1),,独立键(仅自身),测序/基因组/分析,否
receipt date,644768,freetext/high-card,样本接收日期，字典无对应(非 collection date),2021-06-08(3927) ; 2021-06-30(1422) ; 2021-02-01(1381) ; 2021-06-22(1380) ; 2021-07-06(1214) ; 2021-07-07(1137) ; 2021-06-29(1089) ; 2021-01-08(966) ; 2021-06-15(896) ; 2021-06-21(770) ; 2021-07-02(690) ; 2021-02-18(685) ; 2021-01-07(672) ; 2021-05-20(597) ; 2021-02-25(582),host recent travel return date,,,独立键(仅自身),提交/数据库管理,否
metagenomic,547195,categorical,布尔标志(1/true)，无 canonical,1(88332) ; true(18030) ; TRUE(11230) ; True(153) ; yes(1),metagenome source,gut metagenome(19526) ; human gut metagenome(13043) ; marine metagenome(10995) ; groundwater metagenome(7326) ; freshwater metagenome(6214) ; human oral metagenome(4466) ; soil metagenome(4286) ; marine sediment metagenome(3517) ; activated sludge metagenome(3496) ; subsurface metagenome(3360) ; anaerobic digester metagenome(3177) ; wastewater metagenome(3034) ; hydrothermal vent metagenome(2720) ; bioreactor metagenome(2077) ; soda lake metagenome(2060),宏基因组标签,独立键(仅自身),样本来源/材料,是
subject id,539615,freetext/high-card,受试者id，官方 host subject id,Subject6(458) ; Subject16(390) ; Subject12(295) ; Subject15(172) ; Subject14(159) ; Subject13(158) ; Subject3(153) ; Subject2(111) ; patient 2(107) ; patient 1(103) ; Subject1(102) ; CML1(96) ; CML2(96) ; CML3(96) ; Subject7(58),gap subject id,75847(557) ; 75911(550) ; 580816(480) ; 241831(345) ; 241683(310) ; 241712(303) ; 241721(290) ; 241691(288) ; 241832(287) ; 241817(283) ; 268876(283) ; 241783(282) ; 241672(281) ; 200064(281) ; 241755(279),,独立键(仅自身),宿主/临床,是
environmental-sample,533517,categorical,布尔标志，无 canonical,1(87403) ; true(7991) ; TRUE(6374),environmental medium,,,独立键(仅自身),样本来源/材料,是
SUBJECT_ID,439887,freetext/high-card,受试者id，同 subject id,SD2052v(1) ; BCR_MV_PBMC6667232(1) ; BCR_MV_PBMC6667233(1) ; BCR_MV_PBMC6667234(1) ; BCR_MV_PBMC6667235(1) ; BCR_MV_PBMC6667236(1) ; BCR_MV_PBMC6667237(1) ; BCR_MV_PBMC6667238(1) ; BCR_MV_PBMC6667239(1) ; BCR_MV_PBMC6667240(1) ; BCR_MV_PBMC6667241(1) ; BCR_MV_PBMC6667242(1) ; BCR_MV_PBMC6667243(1) ; BCR_MV_PBMC6667244(1) ; BCR_MV_PBMC6667245(1),gap subject id,75847(557) ; 75911(550) ; 580816(480) ; 241831(345) ; 241683(310) ; 241712(303) ; 241721(290) ; 241691(288) ; 241832(287) ; 241817(283) ; 268876(283) ; 241783(282) ; 241672(281) ; 200064(281) ; 241755(279),,独立键(仅自身),宿主/临床,是
individual,406097,freetext/high-card,个体id，归 host subject id,2(6249) ; 1(5485) ; 3(4454) ; 5(4136) ; 4(3257) ; D8(1572) ; D7(1265) ; D9(1237) ; CS7(1196) ; 6(949) ; D5(878) ; batch 2(846) ; 7(783) ; NA19098(767) ; D6(650),host number individual,,,独立键(仅自身),宿主/临床,是
scientific name,350753,freetext/high-card,物种学名，归顶层 organism 字段,Homo sapiens(44172) ; thuja plicata(4832) ; Gallus gallus(3590) ; homo sapiens(3588) ; Sus scrofa(3216) ; Aphis glycines(2841) ; Homo Sapien(2601) ; homo sapien(2306) ; Bos taurus(2282) ; Vigna unguiculata(1659) ; Arabidopsis thaliana(1593) ; Canis familiaris(1572) ; Triticum aestivum(1564) ; Anas platyrhynchos platyrhynchos(1210) ; Zea mays L.(982),infra specific name,Hordeum vulgare L. convar. vulgare var. hybernum Viborg(4803) ; Hordeum vulgare L. convar. distichon (L.) Alef. var. nutans (Rode) Alef.(2987) ; vulgare(988) ; Hordeum vulgare L.(533) ; Hordeum vulgare L. convar. vulgare var. coeleste L.(486) ; Hordeum vulgare L. convar. deficiens (Steud.) Mansf. var. deficiens (Steud.) Kérn.(390) ; Hordeum spontaneum K.Koch(384) ; Hordeum spontaneum K.Koch var. spontaneum(376) ; Hordeum vulgare L. convar. vulgare var. densum Sér.(360) ; Hordeum vulgare L. convar. vulgare var. parallelum Kérn.(304) ; Hordeum vulgare L. convar. vulgare var. himalayense (Rittig) Kérn.(216) ; Hordeum vulgare L. convar. distichon (L.) Alef. var. erectum (Rode) Alef.(214) ; Hordeum vulgare L. convar. vulgare var. subviolaceum Kérn.(192) ; Hordeum vulgare L. convar. vulgare var. nigripallidum Regel(181) ; Hordeum vulgare L. convar. vulgare var. rikotense Regel(155),,独立键(仅自身),样本来源/材料,是
organism,348731,freetext/high-card,顶层 organism 字段,human gut metagenome(12911) ; mouse gut metagenome(7072) ; soil metagenome(6172) ; metagenome(4854) ; marine metagenome(2939) ; human skin metagenome(1980) ; Mus musculus(1415) ; human metagenome(1064) ; bioreactor metagenome(851) ; gut metagenome(834) ; human oral metagenome(813) ; freshwater metagenome(789) ; chicken gut metagenome(775) ; Arabidopsis thaliana(725) ; human lung metagenome(694),organism count,"1(686) ; 6418(390) ; 80 adult females(335) ; 20(317) ; 5(316) ; ""e;N/A""(234) ; Expectoration(231) ; Total cells per mL NA(135) ; 100000 cells(100) ; #N/B(99) ; 2(94) ; fungi 1000000(92) ; 5 whole body flies(86) ; Clostridium difficile; 0 CFU/g of feces(84) ; 630000 cells/mL(83)",,独立键(仅自身),样本来源/材料,是
longitude,346186,numeric,经度，官方 latitude and longitude,37.24231(14371) ; -117.25(11916) ; -74.0059(6635) ; -105.27(6013) ; -117.258(4431) ; -117.257767(3506) ; -105.271(3315) ; -70.66(3186) ; -0.12(2857) ; -87.36(2756) ; -90.26(2386) ; -117.2(2330) ; -95.71(2325) ; 34.1(2313) ; -92.4699(1969),latitude and longitude,,,规范键(其他并入它),时空/环境,是
